Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Apr 13 00:00:00 CST 2015,146,43,20,0,0,38,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0
Mon Apr 20 00:00:00 CST 2015,95,16,11,0,0,26,0,7,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0
Mon Apr 27 00:00:00 CST 2015,166,30,13,0,0,71,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Mon May 04 00:00:00 CST 2015,141,37,48,0,0,22,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Mon May 11 00:00:00 CST 2015,171,41,44,0,0,46,0,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
Mon May 18 00:00:00 CST 2015,65,0,19,0,0,18,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Mon May 25 00:00:00 CST 2015,45,0,3,0,0,12,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
Mon Jun 01 00:00:00 CST 2015,63,1,10,0,0,15,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 08 00:00:00 CST 2015,249,80,72,0,0,11,0,18,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 15 00:00:00 CST 2015,97,30,28,0,0,9,0,20,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 22 00:00:00 CST 2015,142,31,33,0,0,13,0,16,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0
Mon Jun 29 00:00:00 CST 2015,94,27,20,0,0,4,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Mon Jul 06 00:00:00 CST 2015,219,3,20,0,0,52,0,33,0,0,28,0,0,0,0,1,0,0,0,0,7,0,0,4,4,0,0,0
Mon Jul 13 00:00:00 CST 2015,173,22,32,0,0,41,0,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mon Jul 20 00:00:00 CST 2015,141,18,31,0,0,12,0,5,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
Mon Jul 27 00:00:00 CST 2015,111,26,11,0,0,3,0,2,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 03 00:00:00 CST 2015,123,30,23,0,0,4,0,16,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Mon Aug 10 00:00:00 CST 2015,283,48,48,0,4,1,0,38,0,0,27,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0
Mon Aug 17 00:00:00 CST 2015,263,31,48,0,73,0,0,43,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Mon Aug 24 00:00:00 CST 2015,371,13,104,0,68,2,44,42,0,0,37,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0
Mon Aug 31 00:00:00 CST 2015,364,25,51,0,57,12,51,77,0,0,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Mon Sep 07 00:00:00 CST 2015,277,50,40,0,36,4,29,24,0,0,17,0,4,0,0,9,0,0,0,0,0,0,0,4,0,0,0,5
Mon Sep 14 00:00:00 CST 2015,410,38,51,6,50,1,89,54,0,0,32,0,0,0,0,13,0,0,0,0,8,0,0,5,0,0,0,3
Mon Sep 21 00:00:00 CST 2015,211,40,15,1,48,1,38,14,0,0,19,0,0,0,0,8,0,0,0,0,2,0,0,1,0,0,0,1
Mon Sep 28 00:00:00 CST 2015,181,45,47,0,33,3,24,1,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mon Oct 05 00:00:00 CST 2015,313,62,39,5,63,1,19,32,0,0,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mon Oct 12 00:00:00 CST 2015,311,49,51,10,25,0,82,32,0,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mon Oct 19 00:00:00 CST 2015,263,35,62,42,23,1,25,16,0,0,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mon Oct 26 00:00:00 CST 2015,320,45,75,64,40,1,26,13,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mon Nov 02 00:00:00 CST 2015,204,31,30,41,22,4,0,15,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5
